,Susceptible,Infected,Recovered,Dead
199,10106.872769602258,56551.03851720456,25487.322856969386,7854.7658562238385
200,89988.62276237417,8144.713318151433,1671.0892086302551,195.57471084430753
201,23636.515902931184,55151.69778226975,18564.972284114447,2646.8140306843447
202,17801.068257469808,53448.44211686942,23656.839526678163,5093.6500989829465
203,16369.918615188219,53075.16479725751,23988.53880174688,6566.37778580741
204,14307.491034159808,53887.12252023103,24224.714345962948,7580.672099646216
205,12526.639219001077,54650.8892800363,24490.561748760832,8331.909752201802
206,11120.802889128865,55240.96516988885,24726.762781850957,8911.469159131355
207,10001.094673168887,55703.10733029937,24923.773548561214,9372.024447970472
208,89737.05430278364,8337.864241773143,1691.8138014324925,233.26765401060098
209,23349.604626832435,55109.600976369235,18432.664704465853,3108.12969233254
210,17603.593836984168,53122.29336661147,23330.16472057417,5943.948075830288
211,16185.478628425119,52581.37973597255,23588.487031019533,7644.654604582764
212,14152.067799717404,53264.54408024061,23770.300829258456,8813.087290783631
213,12393.313628795682,53935.57830402387,23993.998464495235,9677.10960268529
214,11003.154247135648,54456.269591857315,24197.597037614818,10342.979123392293
215,9895.400868122384,54864.02144513672,24368.85717801448,10871.7205087264
216,89480.41924500224,8534.591297635237,1712.4589538722098,272.53050349042275
217,23065.05947067747,55062.54305874564,18297.354186585493,3575.0432839914633
218,17406.220333759862,52795.00810323065,23004.34772462767,6794.423838381609
219,16001.232744091247,52089.03266168886,23191.524168396234,8718.210425823685
220,13996.7135418933,52645.81888706587,23320.8151561955,10036.652414845217
221,12260.044597464903,53226.071600959964,23503.840228268255,11010.043573307028
222,10885.579564048137,53678.99564149018,23676.016485057567,11759.408309404018
223,9789.789050551888,54033.725461760834,23822.488433889615,12353.9970537977
224,89218.66241469851,8734.920372139331,1733.0095972503188,313.40761591219825
225,22782.82888217832,55010.58691942352,18159.09428349304,4047.4899149051403
226,17208.952751032848,52466.62387970841,22679.423267063932,7645.000102194808
227,15817.180823608322,51598.15406545686,22797.66106361025,9787.004047324535
228,13841.426809351695,52030.957168808636,22876.240861380593,11251.37516045899
229,12126.829363237692,52522.35714337847,23020.044946878115,12330.768546505578
230,10768.075984892279,52909.10892354692,23161.956280963976,13160.858810596945
231,9684.256856145475,53212.164077955014,23284.58239726099,13818.99666863833
232,88951.7299407863,8938.875768600088,1753.4501622174896,355.94412839617223
233,22502.862150872683,54953.79511727034,18017.938845643854,4525.403886213202
234,17011.79604673574,52137.17812979757,22355.425625147232,8495.600198319611
235,15633.322769183002,51108.77400224855,22406.908045573,10850.995182995228
236,13686.206180885258,51419.96872557109,22436.56109616224,12457.263997381662
237,11993.665156282304,51824.42261920827,22542.570379294888,13639.341845214489
238,10650.640608270518,52146.574951485774,22655.35170408455,14547.4327361591
