,P11,P13,P21,P23,M1,M2
0,0.1,0.1,0.1,0.1,38170.01116637479,38170.01116637479
1,0.15000000000000002,0.1,0.1,0.1,79158.3346938889,3788.7636746942203
2,0.20000000000000004,0.1,0.1,0.1,85342.00327693377,1545.490514759631
3,0.25000000000000006,0.1,0.1,0.1,88496.26494954644,859.1339139538909
4,0.30000000000000004,0.1,0.1,0.1,90492.03714013752,551.0718794600054
5,0.3500000000000001,0.1,0.1,0.1,91884.67855965278,384.768352806412
6,0.40000000000000013,0.1,0.1,0.1,92916.28966103551,284.3616286015325
7,0.45000000000000007,0.1,0.1,0.1,93712.84472807849,218.90371337797825
8,0.5000000000000001,0.1,0.1,0.1,94347.12875167861,173.81785778789728
9,0.5500000000000002,0.1,0.1,0.1,94864.49767717725,141.39181443064052
10,0.6000000000000002,0.1,0.1,0.1,95294.68762799633,117.30083027426514
11,0.6500000000000001,0.1,0.1,0.1,95658.11775789308,98.90412273879231
12,0.7000000000000002,0.1,0.1,0.1,95969.27248442553,84.5258193090128
13,0.7500000000000002,0.1,0.1,0.1,96238.69937118735,73.07849973632989
14,0.8000000000000002,0.1,0.1,0.1,96474.28999157711,63.810803347207724
15,0.8500000000000002,0.1,0.1,0.1,96682.04925521968,56.20681300403738
16,0.1,0.15000000000000002,0.1,0.1,11538.531521217785,63067.31689420715
17,0.15000000000000002,0.15000000000000002,0.1,0.1,67121.99283329178,8025.862915340147
18,0.20000000000000004,0.15000000000000002,0.1,0.1,77817.4748902135,2711.416121268536
19,0.25000000000000006,0.15000000000000002,0.1,0.1,82695.74184291357,1423.0034641897284
20,0.30000000000000004,0.15000000000000002,0.1,0.1,85721.6701949944,888.2490598800277
21,0.3500000000000001,0.15000000000000002,0.1,0.1,87820.56364786864,610.5013117614278
22,0.40000000000000013,0.15000000000000002,0.1,0.1,89371.72465801313,446.55991324701904
23,0.45000000000000007,0.15000000000000002,0.1,0.1,90568.11332776975,341.3082470878959
24,0.5000000000000001,0.15000000000000002,0.1,0.1,91520.2199174852,269.6046890993978
25,0.5500000000000002,0.15000000000000002,0.1,0.1,92296.60133189555,218.43238916249186
26,0.6000000000000002,0.15000000000000002,0.1,0.1,92942.03250108483,180.65360712119485
27,0.6500000000000001,0.15000000000000002,0.1,0.1,93487.27007634685,151.91728880156813
28,0.7000000000000002,0.15000000000000002,0.1,0.1,93954.03347757661,129.5593199732927
29,0.7500000000000002,0.15000000000000002,0.1,0.1,94358.18496295516,111.81476948556056
30,0.8000000000000002,0.15000000000000002,0.1,0.1,94711.5659595483,97.49229070268606
31,0.1,0.20000000000000004,0.1,0.1,6441.658753335433,67957.6864077096
32,0.15000000000000002,0.20000000000000004,0.1,0.1,50840.75915195485,18174.120601476072
33,0.20000000000000004,0.20000000000000004,0.1,0.1,70027.25379431107,4367.8992821586235
34,0.25000000000000006,0.20000000000000004,0.1,0.1,76841.03926119779,2121.8256514940604
35,0.30000000000000004,0.20000000000000004,0.1,0.1,80934.81534748414,1281.0349000065326
36,0.3500000000000001,0.20000000000000004,0.1,0.1,83750.32786454112,864.4490283634609
37,0.40000000000000013,0.20000000000000004,0.1,0.1,85824.56521933361,625.0909796234426
38,0.45000000000000007,0.20000000000000004,0.1,0.1,87422.21903040049,474.01503844502304
39,0.5000000000000001,0.20000000000000004,0.1,0.1,88692.8507597294,372.2487042395843
40,0.5500000000000002,0.20000000000000004,0.1,0.1,89728.5000621292,300.3276866079127
41,0.6000000000000002,0.20000000000000004,0.1,0.1,90589.35504997452,247.51903801409463
42,0.6500000000000001,0.20000000000000004,0.1,0.1,91316.44541510311,207.59202970532647
43,0.7000000000000002,0.20000000000000004,0.1,0.1,91938.855615464,176.64217505505013
