,P11,P13,P21,P23,M1,M2
89,0.08,0.01,0.1,0.1,94329.38955630432,2134.3493196686186
90,0.09,0.01,0.1,0.1,95782.34305218002,1231.4181186012086
91,0.1,0.01,0.1,0.1,96533.80114236372,827.3585437697578
92,0.11,0.01,0.1,0.1,97014.31617369254,603.01745351509
93,0.12,0.01,0.1,0.1,97357.35590714142,462.7113963567535
94,0.13,0.01,0.1,0.1,97618.93247138585,368.04454029239713
95,0.14,0.01,0.1,0.1,97827.31014529656,300.6358325698372
96,0.15,0.01,0.1,0.1,97998.45414356334,250.71008447797465
97,0.16,0.01,0.1,0.1,98142.21554633215,212.60695492687526
98,0.17,0.01,0.1,0.1,98265.17919064077,182.75279271983817
99,0.18,0.01,0.1,0.1,98371.81593615316,158.8954492743981
100,0.19,0.01,0.1,0.1,98465.38930357656,139.47640514003615
101,0.2,0.01,0.1,0.1,98548.24398068925,123.47138543198004
102,0.21,0.01,0.1,0.1,98622.15518761134,110.15705227474376
103,0.22,0.01,0.1,0.1,98688.67854580974,98.85777019081837
104,0.23,0.01,0.1,0.1,98748.81302436977,89.25778277361908
105,0.24,0.01,0.1,0.1,98803.46687871993,81.0332249933809
106,0.25,0.01,0.1,0.1,98853.43599859675,73.88567546671177
107,0.26,0.01,0.1,0.1,98899.32358164575,67.62355157951689
108,0.27,0.01,0.1,0.1,98941.52379198898,62.187792627962835
109,0.28,0.01,0.1,0.1,98980.57082343826,57.36084374248251
110,0.29,0.01,0.1,0.1,99016.81992578851,53.0459739536818
111,0.3,0.01,0.1,0.1,99050.47567327238,49.2498277915839
112,0.31,0.01,0.1,0.1,99081.9002871229,45.819681435919996
113,0.32,0.01,0.1,0.1,99111.27148969682,42.74307606183916
114,0.33,0.01,0.1,0.1,99138.78814530636,39.97264292494783
115,0.34,0.01,0.1,0.1,99164.62325842917,37.469162946911
116,0.35000000000000003,0.01,0.1,0.1,99188.92809577036,35.199990581197234
117,0.36,0.01,0.1,0.1,99211.87525439785,33.10277024666455
118,0.37,0.01,0.1,0.1,99233.50651439739,31.221042288313313
119,0.38,0.01,0.1,0.1,99254.00019073421,29.469651930393496
120,0.39,0.01,0.1,0.1,99273.37945151376,27.893430554487733
121,0.4,0.01,0.1,0.1,99291.79847309167,26.4147014879731
122,0.41000000000000003,0.01,0.1,0.1,99309.29593667136,25.05265588762315
123,0.42,0.01,0.1,0.1,99325.94038330064,23.795050664643245
124,0.43,0.01,0.1,0.1,99341.79353987119,22.631288194317296
125,0.44,0.01,0.1,0.1,99356.91117560868,21.552146198180843
126,0.45,0.01,0.1,0.1,99371.34382385504,20.549562681941175
127,0.46,0.01,0.1,0.1,99385.13739452198,19.616463237661122
128,0.47000000000000003,0.01,0.1,0.1,99398.33369663078,18.74662160723896
129,0.48,0.01,0.1,0.1,99410.97088589604,17.93454699535805
130,0.49,0.01,0.1,0.1,99423.08384886279,17.17539357922694
131,0.5,0.01,0.1,0.1,99434.72588288636,16.44553421915127
132,0.51,0.01,0.1,0.1,99445.88532267175,15.778311249854397
133,0.52,0.01,0.1,0.1,99456.60931332591,15.152098689585387
134,0.53,0.01,0.1,0.1,99466.92268311989,14.563919898070267
135,0.54,0.01,0.1,0.1,99476.86822494517,13.992996924003553
136,0.55,0.01,0.1,0.1,99486.43027060191,13.470529244683348
137,0.56,0.01,0.1,0.1,99495.66201727613,12.96375681560097
138,0.5700000000000001,0.01,0.1,0.1,99504.55238627529,12.497506051352172
139,0.58,0.01,0.1,0.1,99513.14541867847,12.04523108814217
140,0.59,0.01,0.1,0.1,99521.4327697954,11.627414081820403
141,0.6,0.01,0.1,0.1,99529.4400693538,11.232594773981948
142,0.61,0.01,0.1,0.1,99537.19566084673,10.845996552344957
143,0.62,0.01,0.1,0.1,99544.696822276,10.480668202272632
144,0.63,0.01,0.1,0.1,99551.94906959255,10.141471185111342
145,0.64,0.01,0.1,0.1,99558.98133180714,9.811083638047302
146,0.65,0.01,0.1,0.1,99565.7873844072,9.504014999144648
147,0.66,0.01,0.1,0.1,99572.3936884592,9.204101457767973
148,0.67,0.01,0.1,0.1,99578.79347492509,8.92538067353296
149,0.68,0.01,0.1,0.1,99585.01165514698,8.652157175140228
150,0.6900000000000001,0.01,0.1,0.1,99591.04737928105,8.392140975479329
151,0.7000000000000001,0.01,0.1,0.1,99596.90394461043,8.148835961058689
152,0.71,0.01,0.1,0.1,99602.60029283277,7.910869635337339
153,0.72,0.01,0.1,0.1,99608.13677165566,7.683774990105426
154,0.73,0.01,0.1,0.1,99613.51651409733,7.470199126870247
155,0.74,0.01,0.1,0.1,99618.75446415227,7.261508521922195
156,0.75,0.01,0.1,0.1,99623.8514874692,7.061883746903371
157,0.76,0.01,0.1,0.1,99628.81039715963,6.873445859006232
158,0.77,0.01,0.1,0.1,99633.64340319044,6.689312689092839
159,0.78,0.01,0.1,0.1,99638.35150546681,6.512823593761794
160,0.79,0.01,0.1,0.1,99642.93712411325,6.345788776602584
161,0.8,0.01,0.1,0.1,99647.41058367013,6.18243198203813
162,0.0,0.02,0.1,0.1,3685.5890025986605,72610.82689725359
163,0.01,0.02,0.1,0.1,4268.631754977111,72130.87826605188
164,0.02,0.02,0.1,0.1,5070.930375970821,71470.60723734258
165,0.03,0.02,0.1,0.1,6245.074428268772,70504.65722777434
166,0.04,0.02,0.1,0.1,8128.646802786731,68955.91189671533
167,0.05,0.02,0.1,0.1,11646.418904692353,66066.34863828808
168,0.06,0.02,0.1,0.1,20590.19869322251,58737.31988209751
169,0.07,0.02,0.1,0.1,,
170,0.08,0.02,0.1,0.1,87354.69956352323,5459.718526799779
171,0.09,0.02,0.1,0.1,91184.85723099802,2843.873844054429
172,0.1,0.02,0.1,0.1,92909.37481525089,1828.58548734499
173,0.11,0.02,0.1,0.1,93949.73277066527,1300.7711305059174
174,0.12,0.02,0.1,0.1,94670.7562819564,982.9688679780306
175,0.13,0.02,0.1,0.1,95211.49651168716,773.6927959886566
176,0.14,0.02,0.1,0.1,95637.94645499867,627.1745844252912
177,0.15,0.02,0.1,0.1,95985.88296512493,520.0438905203762
178,0.16,0.02,0.1,0.1,96277.04712670794,438.9251975169649
179,0.17,0.02,0.1,0.1,96525.22844132484,375.9301615406241
180,0.18,0.02,0.1,0.1,96739.97894765754,325.90770731639554
181,0.19,0.02,0.1,0.1,96928.08210957427,285.4342458277764
182,0.2,0.02,0.1,0.1,97094.51813749399,252.15614199696614
183,0.21,0.02,0.1,0.1,97242.91413506915,224.5188498890119
184,0.22,0.02,0.1,0.1,97376.24644720099,201.25274665743527
185,0.23,0.02,0.1,0.1,97496.80433784741,181.45930761905797
186,0.24,0.02,0.1,0.1,97606.3574706955,164.51345121389977
187,0.25,0.02,0.1,0.1,97706.45711148101,149.84002050320123
188,0.26,0.02,0.1,0.1,97798.32103947524,137.03721176961878
189,0.27,0.02,0.1,0.1,97882.85429970852,125.88032432646375
190,0.28,0.02,0.1,0.1,97961.02007651229,116.01822464755648
191,0.29,0.02,0.1,0.1,98033.48374461185,107.2927339601475
192,0.3,0.02,0.1,0.1,98100.9120316626,99.49067009004693
