,percentage_extremists,uncertainty_moderate,uncertainty_extremists,relative_difference_positive_negative_extrimists,intensity_interaction,embedding
445,0.15,0.2,0.15,0.0,0.5,0.11934849427532875
446,0.1,0.8,0.15,0.0,0.1,173.92695020645417
447,0.15,1.0,0.1,0.0,0.1,96.59070054810681
448,0.05,1.6,0.2,0.4,0.2,55.260397110196884
449,0.3,0.8,0.05,0.2,0.5,26.75217838671478
450,0.2,1.2,0.15,0.3,0.5,29.988060727469975
451,0.05,1.0,0.15,0.1,0.3,356.41966049419284
452,0.15,1.6,0.15,0.2,0.3,64.26989988817739
453,0.025,1.2,0.2,0.4,0.4,253.0781159383097
454,0.3,2.0,0.2,0.5,0.4,4.931553002188851
455,0.15,2.0,0.1,0.3,0.5,12.964692359542203
456,0.05,2.0,0.1,0.1,0.1,179.8441595714364
457,0.05,0.6000000000000001,0.15,0.3,0.5,0.6971020465514687
458,0.25,1.2,0.05,0.5,0.5,6.709066019012461
459,0.05,1.0,0.05,0.1,0.2,36.07269818652667
460,0.05,1.0,0.05,0.5,0.3,53.70218164755349
461,0.25,1.8,0.2,0.5,0.5,6.316737899888926
462,0.2,0.2,0.15,0.1,0.2,0.09503464686823163
463,0.15,1.2,0.2,0.0,0.1,70.39780830519898
464,0.3,1.4,0.2,0.3,0.3,27.76699953368472
465,0.3,1.8,0.05,0.3,0.2,10.483113372926587
466,0.05,0.2,0.2,0.5,0.3,0.11333336065473663
467,0.025,0.2,0.15,0.5,0.3,0.1351711160233898
468,0.25,0.2,0.1,0.1,0.2,0.12395342937486102
469,0.15,1.2,0.15,0.4,0.2,21.03857900374647
470,0.25,2.0,0.1,0.1,0.2,19.206135699801155
471,0.15,0.4,0.15,0.2,0.5,0.4052313494984153
472,0.025,0.8,0.15,0.1,0.3,134.27273325147004
473,0.3,0.4,0.15,0.0,0.1,0.6135646729006902
474,0.2,1.8,0.15,0.4,0.5,15.271833293091232
475,0.25,1.4,0.2,0.5,0.4,11.400727199189332
476,0.1,2.0,0.1,0.1,0.1,23.599983854305155
477,0.025,0.6000000000000001,0.1,0.5,0.2,0.4822039968485338
478,0.3,1.0,0.05,0.2,0.1,18.703314448607383
479,0.05,1.6,0.1,0.1,0.4,29.682738135433873
480,0.2,1.6,0.1,0.0,0.5,32.392955704913234
481,0.3,1.8,0.15,0.0,0.1,2264.131089112257
482,0.25,1.0,0.2,0.1,0.4,89.91652705500715
483,0.025,0.6000000000000001,0.1,0.2,0.5,0.4937640787776602
484,0.3,1.4,0.05,0.1,0.2,65.9931145232162
485,0.3,0.8,0.2,0.5,0.4,10.483471714108159
486,0.3,0.8,0.1,0.2,0.5,36.901657665384086
487,0.25,0.6000000000000001,0.05,0.5,0.4,18.339265273413776
488,0.1,1.6,0.2,0.5,0.3,14.71110849381981
489,0.2,0.2,0.15,0.4,0.3,0.13311432467799134
490,0.25,2.0,0.2,0.3,0.4,11.147717401624865
491,0.15,0.2,0.15,0.3,0.1,0.12176200393696486
492,0.05,1.0,0.2,0.2,0.3,119.52168839153772
493,0.3,0.4,0.15,0.5,0.3,0.34582818222033956
494,0.3,1.4,0.1,0.5,0.1,5.977902920758123
495,0.05,2.0,0.05,0.1,0.1,116.9923129638926
496,0.3,1.8,0.1,0.0,0.4,213.46407146314027
497,0.25,1.6,0.05,0.0,0.3,51.13982866423162
498,0.1,2.0,0.1,0.3,0.5,31.996268136222895
499,0.1,0.4,0.1,0.4,0.1,0.3677522273172254
500,0.1,0.2,0.2,0.3,0.4,0.10865538060079366
501,0.3,0.6000000000000001,0.2,0.0,0.5,5.739285714501426
502,0.025,2.0,0.15,0.5,0.4,54.42179380996821
503,0.3,0.6000000000000001,0.05,0.5,0.1,9.939967652453413
504,0.3,1.0,0.05,0.5,0.1,7.536035797640105
505,0.025,0.6000000000000001,0.2,0.5,0.1,0.576648344160842
506,0.05,0.4,0.1,0.1,0.1,0.3977566968931174
507,0.1,0.8,0.2,0.2,0.4,57.96159060089533
508,0.1,2.0,0.05,0.1,0.3,9.831317985953833
509,0.025,0.2,0.2,0.2,0.4,0.10643596789363076
510,0.25,1.6,0.15,0.2,0.1,10.601452826832208
511,0.1,0.4,0.05,0.3,0.4,0.3619657325415484
512,0.05,0.6000000000000001,0.05,0.3,0.5,0.617618635904443
513,0.2,0.6000000000000001,0.1,0.1,0.3,2.922811254877072
514,0.25,0.6000000000000001,0.05,0.3,0.2,5.879533072360088
515,0.1,1.6,0.2,0.5,0.1,14.072615836712863
516,0.15,0.6000000000000001,0.1,0.3,0.3,1.2040756893219502
517,0.025,0.2,0.15,0.2,0.1,0.12258420305604241
518,0.25,0.2,0.1,0.5,0.5,0.1135379646574107
519,0.2,0.6000000000000001,0.2,0.3,0.2,5.436040529567054
520,0.2,1.2,0.1,0.1,0.2,52.656499160128696
521,0.025,0.8,0.15,0.5,0.4,77.41210491233137
522,0.1,0.2,0.15,0.2,0.3,0.10962096805823253
523,0.15,0.8,0.05,0.2,0.4,28.0852647602642
524,0.3,0.2,0.1,0.4,0.2,0.10995876556312567
525,0.025,1.0,0.05,0.5,0.4,101.03832357620783
526,0.3,0.4,0.15,0.3,0.5,0.2655001212899869
527,0.05,1.8,0.15,0.3,0.1,41.025261762331944
528,0.1,1.0,0.15,0.1,0.4,118.73727452712308
529,0.15,1.2,0.2,0.4,0.5,17.70881594915242
530,0.15,0.2,0.1,0.5,0.4,0.1296840008079835
531,0.1,2.0,0.2,0.5,0.5,14.009497472040065
532,0.3,0.6000000000000001,0.2,0.4,0.4,10.789736795597515
533,0.25,0.4,0.1,0.5,0.5,0.5737786841003135
534,0.25,1.4,0.2,0.2,0.5,17.312802363930203
535,0.025,0.2,0.15,0.0,0.1,0.12568399960731977
536,0.2,0.6000000000000001,0.2,0.5,0.2,2.3990848985428257
537,0.3,1.6,0.2,0.0,0.2,21.434789388319057
538,0.25,0.4,0.05,0.3,0.3,0.6547242681962903
539,0.1,1.2,0.2,0.0,0.2,1835.0907129833408
540,0.05,1.8,0.15,0.5,0.2,20.93401207267564
541,0.2,0.2,0.2,0.3,0.2,0.12208869363215666
542,0.2,0.2,0.15,0.1,0.1,0.10873793378471189
543,0.1,0.2,0.2,0.3,0.1,0.08406026759156443
544,0.1,0.2,0.15,0.4,0.1,0.16032412190577094
545,0.1,0.6000000000000001,0.1,0.5,0.5,0.5342703644556093
546,0.1,1.8,0.2,0.0,0.3,187.5450059215391
547,0.3,1.2,0.15,0.5,0.4,7.382382948760907
548,0.2,1.0,0.15,0.3,0.1,19.808662187300364
549,0.2,1.2,0.1,0.5,0.3,23.87352606371501
550,0.25,1.2,0.2,0.1,0.3,40.12276347669586
551,0.2,1.0,0.2,0.3,0.1,18.86071049266278
552,0.25,1.4,0.2,0.0,0.5,116.0206261874363
553,0.1,1.6,0.1,0.0,0.5,603.2095979019356
554,0.025,0.8,0.2,0.3,0.3,46.67182434569461
555,0.025,1.6,0.15,0.3,0.5,19.337910596012506
556,0.1,0.4,0.1,0.1,0.5,0.4318110417665798
557,0.05,1.2,0.2,0.5,0.3,123.28435502359584
558,0.05,0.4,0.05,0.2,0.5,0.2451070823114901
559,0.1,2.0,0.05,0.2,0.5,19.07000628008102
560,0.05,0.2,0.2,0.5,0.5,0.09367220489071666
561,0.25,1.4,0.15,0.3,0.4,12.661311021659056
562,0.05,0.2,0.1,0.0,0.4,0.11534905474166904
563,0.3,0.2,0.05,0.3,0.1,0.21273190275966752
564,0.3,1.4,0.1,0.5,0.2,5.392817471094286
565,0.1,1.6,0.05,0.2,0.5,25.02857966898295
566,0.05,1.4,0.2,0.1,0.3,20.451758071643642
567,0.1,1.6,0.2,0.4,0.3,36.67796657668038
568,0.25,1.0,0.05,0.0,0.3,49.86402703393789
569,0.25,0.8,0.1,0.4,0.5,17.94786686856211
570,0.3,0.6000000000000001,0.15,0.4,0.3,13.449174647574962
571,0.3,1.6,0.1,0.1,0.1,35.92093582199343
572,0.025,1.0,0.05,0.4,0.5,55.525610353213885
573,0.15,1.2,0.05,0.3,0.5,66.61702462115352
574,0.025,1.8,0.05,0.4,0.3,24.54125076575445
575,0.1,0.2,0.1,0.4,0.2,0.11741866297890105
576,0.025,1.8,0.1,0.3,0.1,143.6009520283621
577,0.025,1.4,0.05,0.0,0.5,826.0173224697302
578,0.025,0.2,0.1,0.5,0.2,0.17203628630327095
579,0.2,0.4,0.05,0.3,0.5,0.7620393982986698
580,0.3,1.6,0.15,0.1,0.2,73.92578912214103
581,0.05,0.4,0.15,0.4,0.2,0.22030815759794253
582,0.05,1.8,0.2,0.4,0.4,22.810762119636813
583,0.025,1.8,0.15,0.0,0.1,31.685993625820085
584,0.3,0.8,0.2,0.1,0.1,22.755332463188097
585,0.025,2.0,0.15,0.2,0.2,25.358896345252262
586,0.15,1.8,0.2,0.5,0.5,9.155443601479812
587,0.025,1.4,0.15,0.4,0.1,71.77067364980296
588,0.1,0.2,0.15,0.0,0.4,0.15951010309829824
589,0.1,0.4,0.2,0.3,0.3,0.37504172487007076
590,0.25,1.4,0.1,0.2,0.1,12.005830677278377
591,0.3,0.2,0.05,0.5,0.4,0.16267449361759267
592,0.1,1.0,0.15,0.2,0.2,70.39835559483684
593,0.025,1.8,0.05,0.1,0.1,64.17491041039258
594,0.15,0.6000000000000001,0.1,0.2,0.1,0.6837045935421387
595,0.2,0.8,0.2,0.1,0.2,283.30599378106433
596,0.2,0.4,0.05,0.0,0.4,0.5502270359601752
597,0.25,0.6000000000000001,0.2,0.4,0.4,18.95382097520723
598,0.2,0.6000000000000001,0.1,0.5,0.1,16.0447329803814
599,0.2,1.4,0.05,0.4,0.5,12.500938131778536
600,0.1,2.0,0.15,0.1,0.4,38.67723215227255
601,0.2,1.8,0.05,0.4,0.1,14.118403561459361
602,0.05,1.0,0.2,0.5,0.5,112.09138803571963
603,0.3,0.2,0.1,0.0,0.5,0.10943920703124072
604,0.05,0.2,0.1,0.5,0.1,0.11611806964510604
605,0.2,0.6000000000000001,0.2,0.3,0.4,45.56532801338299
606,0.15,2.0,0.05,0.3,0.5,31.08719282715567
607,0.025,2.0,0.1,0.5,0.3,61.85503785505526
608,0.1,2.0,0.2,0.1,0.2,15.317034627486205
609,0.025,2.0,0.05,0.3,0.3,62.32752084144744
610,0.1,0.4,0.2,0.3,0.5,0.25773314583793117
611,0.25,1.6,0.15,0.1,0.3,32.09673684011801
612,0.2,1.4,0.15,0.5,0.4,7.1561266092997435
613,0.15,1.6,0.2,0.2,0.4,16.581541655614537
614,0.15,2.0,0.2,0.3,0.4,24.98183514520164
615,0.3,1.2,0.2,0.5,0.1,7.066619193141312
616,0.025,1.2,0.15,0.0,0.2,128.56956120520525
617,0.05,1.2,0.05,0.0,0.5,482.7012486125502
618,0.15,0.8,0.05,0.1,0.4,6526.114706984161
619,0.15,1.8,0.05,0.0,0.1,22.15121820765835
620,0.025,1.8,0.05,0.3,0.1,20.701116715006382
621,0.25,0.6000000000000001,0.15,0.1,0.1,54.670177069572766
622,0.025,0.4,0.2,0.2,0.2,0.30757013294988655
623,0.3,1.2,0.05,0.3,0.5,11.55194235161091
624,0.25,0.2,0.15,0.1,0.1,0.08561698700022145
625,0.2,1.8,0.15,0.0,0.2,100.41894194798337
626,0.2,0.8,0.2,0.1,0.5,33.020771477078824
627,0.2,0.4,0.2,0.2,0.5,0.7769375410459679
628,0.25,0.2,0.1,0.5,0.2,0.10044184162234991
629,0.2,1.4,0.15,0.0,0.2,24.621599192889036
630,0.025,1.8,0.2,0.4,0.4,52.228875211711895
631,0.3,2.0,0.05,0.1,0.3,23.88038653094549
632,0.3,1.0,0.1,0.4,0.5,12.566207552104116
633,0.05,0.6000000000000001,0.05,0.1,0.1,0.5656762764660414
634,0.1,2.0,0.15,0.3,0.4,14.8408446409315
635,0.15,1.8,0.2,0.3,0.5,10.792047788244892
636,0.2,1.2,0.1,0.5,0.1,10.04235089493517
637,0.05,0.4,0.05,0.4,0.3,0.2965557000673431
638,0.15,1.0,0.15,0.3,0.4,39.675386408189745
639,0.2,0.4,0.1,0.1,0.2,0.5528614045255669
640,0.025,0.4,0.2,0.4,0.5,0.22690405992682341
641,0.25,1.6,0.1,0.5,0.1,7.549926774138746
642,0.3,1.8,0.2,0.3,0.4,8.090146154315693
643,0.2,1.6,0.05,0.4,0.2,10.296693799257097
644,0.25,1.2,0.2,0.5,0.1,10.248309360092852
645,0.3,2.0,0.2,0.0,0.2,129.22656206122605
646,0.2,0.2,0.05,0.4,0.1,0.17538126993836906
647,0.3,1.8,0.05,0.0,0.4,55.106947111979906
648,0.3,0.8,0.1,0.3,0.5,16.34539696726656
649,0.2,1.0,0.1,0.4,0.1,16.29234470685861
650,0.025,0.2,0.15,0.3,0.3,0.16913201072180553
651,0.1,0.2,0.1,0.5,0.2,0.15454725329940758
652,0.025,0.6000000000000001,0.15,0.1,0.4,0.6387640103182732
653,0.1,1.8,0.05,0.2,0.2,14.43536134680304
654,0.15,0.6000000000000001,0.2,0.4,0.2,1.0710178280771565
655,0.15,1.6,0.15,0.1,0.3,112.62169998481666
656,0.25,1.0,0.1,0.4,0.3,9.995319767854514
657,0.3,1.4,0.05,0.1,0.4,15.987028246924089
658,0.025,1.2,0.05,0.4,0.2,91.6492050971722
659,0.2,0.4,0.1,0.1,0.5,0.6439119792060709
660,0.2,1.4,0.05,0.5,0.2,7.45588665877717
661,0.025,0.2,0.2,0.5,0.4,0.13497390910108006
662,0.3,1.6,0.05,0.3,0.2,5.847067767663964
663,0.2,1.0,0.1,0.0,0.4,6042.0969445880055
664,0.25,0.2,0.05,0.5,0.1,0.13152511908524647
665,0.3,1.4,0.15,0.0,0.2,371.5813849757098
666,0.25,1.0,0.05,0.0,0.2,39.81587905697196
667,0.1,1.6,0.2,0.2,0.2,46.29922991768037
668,0.05,1.4,0.05,0.0,0.5,49.951594618087086
669,0.2,0.6000000000000001,0.05,0.1,0.2,2.6347516763491767
670,0.2,1.8,0.2,0.1,0.3,116.74164254925296
671,0.05,1.4,0.2,0.2,0.3,257.6622193888489
672,0.15,1.6,0.1,0.5,0.4,7.801862148500798
673,0.05,1.8,0.1,0.0,0.4,61.59099416781106
674,0.3,1.4,0.1,0.5,0.4,7.364893297527881
675,0.1,0.6000000000000001,0.1,0.0,0.3,0.5008337928329295
676,0.25,0.6000000000000001,0.15,0.0,0.1,75.22806753729382
677,0.025,0.4,0.15,0.0,0.4,0.3400584673570239
678,0.25,0.2,0.2,0.3,0.2,0.11609747185245742
679,0.1,1.0,0.2,0.5,0.4,61.29602292293849
680,0.1,0.8,0.05,0.0,0.5,164.24324997194557
681,0.05,1.2,0.05,0.3,0.3,72.25383395666725
682,0.3,0.4,0.2,0.4,0.3,0.39757175689790775
683,0.15,0.8,0.2,0.4,0.1,20.09557961781258
684,0.15,1.8,0.1,0.1,0.5,10.369755589767781
685,0.3,0.6000000000000001,0.1,0.3,0.5,14.10783219610876
686,0.2,1.2,0.15,0.1,0.5,76.06222668821677
687,0.1,0.6000000000000001,0.05,0.2,0.2,0.9878765457144671
688,0.15,0.8,0.2,0.5,0.4,21.923324421786305
689,0.25,1.0,0.05,0.3,0.1,24.71369555633468
690,0.25,1.6,0.2,0.0,0.1,72.28109422871543
691,0.1,0.8,0.1,0.3,0.2,77.05952398953899
692,0.2,1.4,0.2,0.5,0.1,12.141009210837003
693,0.05,0.6000000000000001,0.15,0.2,0.3,0.4580410304002781
694,0.025,1.4,0.15,0.1,0.3,226.49503734473993
695,0.2,1.4,0.05,0.0,0.1,508.2028781950345
696,0.2,1.2,0.1,0.2,0.5,34.61305182459097
697,0.15,1.0,0.05,0.2,0.2,155.27754659930025
698,0.2,0.6000000000000001,0.15,0.2,0.2,5.270242218093434
699,0.2,1.4,0.15,0.1,0.5,28.410581749957075
700,0.25,0.6000000000000001,0.1,0.0,0.4,52.84370639108739
701,0.15,1.6,0.1,0.1,0.1,17.170024263320315
702,0.025,0.8,0.05,0.0,0.4,40.29972450813669
703,0.15,0.2,0.15,0.2,0.2,0.12502825685180216
704,0.3,0.4,0.1,0.2,0.5,0.6113625304068788
705,0.025,0.4,0.05,0.1,0.4,0.42934151316496866
706,0.025,1.0,0.15,0.0,0.4,118.84466153974527
707,0.2,1.8,0.15,0.2,0.4,9.714712560037635
708,0.05,1.6,0.2,0.0,0.2,89.0084331612125
709,0.3,1.2,0.1,0.3,0.2,9.074455220182722
710,0.25,0.8,0.05,0.3,0.5,21.32999574347043
711,0.3,0.8,0.05,0.5,0.4,8.393656183102854
712,0.05,2.0,0.15,0.5,0.2,11.657550966278835
713,0.25,2.0,0.05,0.4,0.3,8.126137550808593
714,0.25,1.8,0.2,0.4,0.1,12.430017386830173
715,0.25,2.0,0.15,0.0,0.2,477.08625741743657
716,0.05,1.6,0.1,0.3,0.4,36.30947562709314
717,0.2,0.4,0.15,0.5,0.1,0.619869703440414
718,0.1,2.0,0.05,0.4,0.3,13.390956402224065
719,0.1,0.8,0.15,0.4,0.5,36.96990233827947
720,0.025,0.4,0.2,0.5,0.1,0.2948296564378322
721,0.1,1.6,0.15,0.3,0.2,25.212979561414237
722,0.3,1.4,0.1,0.0,0.2,94.65748574163133
723,0.025,0.2,0.15,0.2,0.4,0.14891990722381893
724,0.2,1.4,0.15,0.1,0.3,156.56619482464689
725,0.25,1.4,0.05,0.0,0.4,22.803182826397236
726,0.15,1.2,0.2,0.4,0.4,55.82263607509904
727,0.025,2.0,0.05,0.1,0.3,100.77580662034343
728,0.3,1.6,0.2,0.5,0.4,5.9033737591969055
729,0.3,1.2,0.1,0.5,0.2,7.78981709076946
730,0.25,1.0,0.1,0.2,0.1,25.099349779001198
731,0.15,0.8,0.15,0.1,0.4,48.048989832551904
732,0.3,0.6000000000000001,0.2,0.1,0.5,6.06783594135605
733,0.05,0.2,0.05,0.5,0.5,0.10620030032060673
734,0.25,1.4,0.1,0.0,0.1,63.365268022810355
735,0.3,1.2,0.1,0.3,0.5,12.661403163344264
736,0.15,1.6,0.05,0.2,0.2,40.25112249027221
737,0.05,1.6,0.1,0.1,0.5,60.25282341084201
738,0.1,0.2,0.05,0.0,0.2,0.17261550566567055
739,0.25,0.8,0.15,0.0,0.4,105.878586399411
740,0.25,1.8,0.15,0.5,0.3,6.697847315190292
741,0.2,1.0,0.1,0.0,0.2,20.46799798169838
742,0.3,1.8,0.05,0.2,0.1,10.595204865872496
743,0.05,0.4,0.2,0.4,0.2,0.4639721402782146
744,0.05,1.4,0.15,0.1,0.5,67.17998776523976
745,0.2,1.4,0.1,0.3,0.1,15.817576728678652
746,0.15,1.0,0.1,0.4,0.3,21.43862475902067
747,0.25,1.6,0.15,0.5,0.1,6.480914807850443
748,0.25,1.4,0.15,0.2,0.4,16.79226528843886
749,0.15,1.8,0.1,0.3,0.5,17.746294105525493
750,0.2,1.8,0.15,0.4,0.4,18.03406496835145
751,0.05,2.0,0.2,0.3,0.2,25.992460072862347
752,0.05,0.2,0.2,0.2,0.4,0.10566428826834753
753,0.05,0.4,0.15,0.3,0.5,0.2430227742416818
754,0.05,0.8,0.1,0.0,0.1,73.35602388100845
755,0.2,0.2,0.15,0.1,0.5,0.14079792986886103
756,0.2,1.0,0.2,0.0,0.1,65.16456360900666
757,0.3,1.0,0.05,0.4,0.3,9.006842909866624
758,0.2,1.8,0.05,0.4,0.5,5.928234152451598
759,0.2,0.4,0.1,0.5,0.1,0.6248669406317642
760,0.05,2.0,0.2,0.4,0.5,77.72734419913981
761,0.3,0.4,0.05,0.5,0.1,0.5496926239467108
762,0.05,1.2,0.15,0.3,0.2,482.351652426974
763,0.2,1.0,0.05,0.1,0.5,3339.5168136189427
764,0.1,1.6,0.05,0.0,0.4,16.544139536373773
765,0.1,1.6,0.05,0.3,0.4,19.187127617746555
766,0.15,0.6000000000000001,0.15,0.2,0.2,196.09642463381985
767,0.1,0.4,0.05,0.5,0.1,0.2978330062761401
768,0.025,1.8,0.1,0.1,0.3,118.24265921197471
769,0.15,1.6,0.1,0.1,0.5,170.09532032083004
770,0.2,0.2,0.15,0.4,0.1,0.10890084036420712
771,0.15,1.2,0.1,0.3,0.1,17.241630195040294
772,0.025,1.0,0.1,0.3,0.3,101.66957556634434
773,0.05,1.8,0.05,0.3,0.4,40.57807610254818
774,0.3,1.4,0.1,0.4,0.3,6.090124810296806
775,0.25,0.6000000000000001,0.05,0.4,0.1,16.01702830164149
776,0.15,0.6000000000000001,0.15,0.3,0.3,0.9019814819729435
777,0.025,0.8,0.1,0.3,0.5,324.6253709378836
778,0.025,1.8,0.2,0.5,0.3,56.566718422965394
779,0.1,0.8,0.1,0.5,0.5,37.21481311896306
780,0.25,0.2,0.05,0.4,0.4,0.18826436272934
781,0.05,1.2,0.05,0.1,0.5,131.85616247313718
782,0.025,0.6000000000000001,0.15,0.2,0.5,0.45995870602501104
783,0.3,1.6,0.1,0.3,0.2,11.612145711069676
784,0.05,1.8,0.15,0.4,0.2,331.7575233727183
785,0.1,1.4,0.05,0.3,0.5,32.78058407927898
786,0.2,1.0,0.05,0.4,0.3,15.999264543918992
787,0.15,0.6000000000000001,0.05,0.3,0.2,0.9347351037656635
788,0.1,1.6,0.2,0.5,0.4,19.24230931957372
789,0.25,0.8,0.2,0.0,0.2,109.66669722399637
790,0.25,1.4,0.1,0.0,0.3,13.997660807706373
791,0.1,0.4,0.1,0.3,0.3,0.3535450333314747
792,0.1,0.4,0.2,0.4,0.2,0.32115232614467676
793,0.05,1.2,0.2,0.2,0.1,115.53125347513777
794,0.025,1.4,0.15,0.2,0.3,298.9886961892384
795,0.025,1.0,0.2,0.1,0.3,185.53871113143558
796,0.05,1.4,0.2,0.3,0.5,51.96813258991556
797,0.05,1.6,0.1,0.3,0.2,623.5936735660123
798,0.1,0.6000000000000001,0.15,0.4,0.4,0.8499276416448313
799,0.2,1.6,0.05,0.4,0.3,5.792129437064974
800,0.025,0.4,0.1,0.0,0.3,0.39910663235447547
801,0.3,1.4,0.1,0.3,0.3,9.496891050336925
802,0.2,1.4,0.2,0.0,0.2,70.45818543950448
803,0.05,1.0,0.05,0.1,0.4,153.1512008221529
804,0.05,2.0,0.05,0.5,0.3,39.575046804078355
805,0.05,0.8,0.15,0.3,0.3,190.39259414179165
806,0.3,0.8,0.1,0.5,0.2,11.582048407379073
807,0.05,0.2,0.1,0.2,0.2,0.11835389418560768
808,0.15,1.4,0.05,0.4,0.2,19.674713076741334
809,0.05,2.0,0.05,0.1,0.3,73.01236392734963
810,0.25,0.4,0.15,0.2,0.4,0.5816648629313149
811,0.2,0.6000000000000001,0.05,0.3,0.5,5.9725602774750355
812,0.05,0.6000000000000001,0.1,0.5,0.5,0.6240317056618068
813,0.15,1.2,0.15,0.2,0.2,183.56939275126797
814,0.1,0.6000000000000001,0.05,0.4,0.2,1.0503871429760523
815,0.2,0.4,0.1,0.0,0.1,0.5058589264638274
816,0.25,0.8,0.2,0.2,0.3,33.94093205419798
817,0.15,0.4,0.15,0.0,0.2,0.4656272042368899
818,0.3,1.2,0.15,0.4,0.3,14.675424335265712
819,0.15,2.0,0.05,0.1,0.1,45.11445387630391
820,0.25,1.8,0.05,0.5,0.3,5.494849029787403
821,0.15,1.8,0.05,0.4,0.3,7.817259117360917
822,0.025,1.8,0.2,0.4,0.5,91.45015163446178
823,0.2,0.4,0.1,0.0,0.4,0.7786959599869242
824,0.3,1.0,0.15,0.2,0.2,45.55279057105206
825,0.15,0.6000000000000001,0.2,0.5,0.5,0.9024502723471536
826,0.025,0.6000000000000001,0.15,0.2,0.2,0.552664835719514
827,0.15,0.6000000000000001,0.2,0.4,0.3,1.0431520535858116
828,0.025,0.4,0.2,0.3,0.2,0.30482457884298986
829,0.15,0.2,0.2,0.5,0.5,0.11064404463955049
830,0.05,0.8,0.2,0.4,0.4,103.75134076464653
831,0.2,0.4,0.15,0.5,0.3,0.38559692385837074
832,0.2,2.0,0.1,0.2,0.3,11.476773806200814
833,0.3,0.4,0.05,0.4,0.5,0.6160441032832199
834,0.15,1.4,0.15,0.3,0.5,20.864976631309244
835,0.1,0.2,0.1,0.3,0.1,0.17276473878587592
836,0.025,1.6,0.05,0.3,0.3,35.698225704375524
837,0.1,1.6,0.15,0.4,0.3,21.816260192855886
838,0.2,1.4,0.05,0.5,0.1,7.383354684093398
839,0.25,0.2,0.15,0.0,0.3,0.12298241123183061
840,0.05,0.4,0.15,0.3,0.3,0.3471305042347958
841,0.025,1.4,0.2,0.2,0.2,202.39457032383714
842,0.025,1.4,0.1,0.5,0.2,119.82223463460637
843,0.2,1.2,0.15,0.1,0.3,92.56011777594502
844,0.1,1.4,0.15,0.4,0.2,29.287378828748942
845,0.025,2.0,0.2,0.0,0.3,2325.907761640322
846,0.05,2.0,0.15,0.4,0.5,9.634940905314792
847,0.1,0.4,0.15,0.2,0.5,0.47455864385647667
848,0.15,0.4,0.1,0.1,0.5,0.7172812330816287
849,0.15,0.4,0.2,0.3,0.1,0.4513274677483376
850,0.025,0.6000000000000001,0.2,0.0,0.3,0.5052569705721173
851,0.05,0.8,0.15,0.5,0.5,60.85385402972383
852,0.2,0.4,0.1,0.2,0.1,0.7563284089817081
853,0.3,1.2,0.2,0.0,0.2,40.50301506663781
854,0.1,0.4,0.1,0.2,0.3,0.48304244006586144
855,0.025,0.8,0.05,0.0,0.2,462.51273108971907
856,0.25,2.0,0.05,0.4,0.5,8.789417289169172
857,0.2,1.6,0.05,0.4,0.4,8.715801073547691
858,0.25,1.4,0.05,0.1,0.2,37.763356173845544
859,0.3,1.2,0.05,0.5,0.5,7.110940375071867
860,0.25,2.0,0.1,0.2,0.3,15.130759142538661
861,0.25,0.8,0.1,0.3,0.2,15.060549592828293
862,0.1,1.8,0.15,0.1,0.2,30.215686614443236
863,0.25,1.0,0.15,0.2,0.2,23.403719115416383
864,0.05,2.0,0.1,0.5,0.5,28.536891162445798
865,0.05,1.0,0.2,0.0,0.2,120.53284556382287
866,0.3,1.8,0.15,0.5,0.5,4.759918680353062
867,0.3,1.8,0.1,0.5,0.2,4.432866216609725
868,0.05,2.0,0.05,0.2,0.2,85.91800902327245
869,0.25,1.8,0.05,0.3,0.3,8.166227562406144
870,0.05,1.8,0.05,0.3,0.2,18.406710225771953
871,0.05,1.0,0.2,0.3,0.2,319.80283869161923
872,0.2,1.2,0.15,0.3,0.2,19.603875275065377
873,0.05,1.4,0.2,0.4,0.4,45.873395338378955
874,0.025,0.4,0.1,0.3,0.5,0.21977636702002723
875,0.15,0.8,0.1,0.4,0.1,37.56003016483653
876,0.25,0.4,0.2,0.1,0.1,0.5743870317590859
877,0.15,1.2,0.05,0.0,0.1,112.69462425093484
878,0.1,2.0,0.2,0.2,0.4,48.792232599890305
879,0.05,1.0,0.05,0.4,0.4,59.70683174253732
880,0.05,0.6000000000000001,0.1,0.3,0.5,0.42504207720114345
881,0.2,1.8,0.05,0.5,0.2,6.390666803324982
882,0.05,0.8,0.05,0.0,0.5,91.16781094653861
883,0.3,0.6000000000000001,0.05,0.1,0.2,40.44807695529272
884,0.15,0.4,0.2,0.4,0.1,0.3621827837866202
885,0.2,0.6000000000000001,0.05,0.0,0.4,109.68546305984597
886,0.05,2.0,0.1,0.0,0.4,21.610524251490492
887,0.2,0.6000000000000001,0.15,0.3,0.1,5.724158410132248
888,0.05,0.6000000000000001,0.05,0.0,0.3,0.5415186522148375
889,0.3,0.8,0.1,0.1,0.2,154.04609998445113
890,0.025,1.2,0.05,0.1,0.5,158.08373321015105
891,0.15,1.6,0.1,0.4,0.1,17.935732678013853
892,0.1,0.4,0.15,0.2,0.1,0.3855832704727632
893,0.15,1.2,0.1,0.1,0.4,47.728730484077325
894,0.05,0.4,0.05,0.4,0.2,0.432889643144309
895,0.3,1.6,0.15,0.5,0.2,9.919993471964002
