,percentage_extremists,uncertainty_moderate,uncertainty_extremists,relative_difference_positive_negative_extrimists,intensity_interaction,embedding
101,0.25,0.6000000000000001,0.1,0.5,0.1,14.994388695678978
102,0.025,1.8,0.05,0.4,0.1,37.0788240941496
103,0.15,0.6000000000000001,0.2,0.3,0.2,2.2625760248749267
104,0.025,0.2,0.2,0.4,0.3,0.11877022975980894
105,0.05,1.0,0.2,0.5,0.4,683.0269419826424
106,0.15,1.2,0.15,0.1,0.2,97.15301075234558
107,0.1,0.8,0.15,0.3,0.5,67.62614976802644
108,0.1,1.0,0.05,0.1,0.2,137.79385794065047
109,0.3,1.0,0.05,0.5,0.5,8.968244904524152
110,0.3,2.0,0.2,0.2,0.1,21.41767826374465
111,0.15,2.0,0.15,0.4,0.1,11.38140583758127
112,0.25,1.6,0.15,0.0,0.2,36.17034740192645
113,0.2,1.8,0.05,0.2,0.5,22.000003303902343
114,0.1,1.6,0.15,0.3,0.1,32.35188405001948
115,0.1,1.6,0.05,0.4,0.1,16.9457574720968
116,0.1,1.0,0.2,0.4,0.4,42.95191059775141
117,0.25,1.8,0.05,0.0,0.2,7.602886250045865
118,0.3,0.2,0.05,0.1,0.1,0.20625293161770694
119,0.25,0.6000000000000001,0.2,0.2,0.4,5.611814599561595
120,0.1,1.8,0.2,0.5,0.4,13.063337932812397
121,0.3,1.0,0.2,0.5,0.1,7.936716083473326
122,0.3,1.6,0.05,0.0,0.3,24.530204995026764
123,0.15,0.6000000000000001,0.2,0.5,0.2,2.0760835766981027
124,0.2,2.0,0.2,0.4,0.5,7.770180606979837
125,0.05,1.8,0.15,0.1,0.4,425.73120514204135
126,0.05,1.8,0.15,0.2,0.1,133.6200833399787
127,0.3,1.8,0.2,0.5,0.5,4.947166159800519
128,0.025,2.0,0.1,0.1,0.1,43.68496425974265
129,0.05,1.2,0.05,0.5,0.3,34.724890999732686
130,0.15,0.6000000000000001,0.1,0.1,0.3,1.246150545675326
131,0.025,1.0,0.1,0.1,0.5,319.3625535957328
132,0.2,2.0,0.05,0.1,0.5,30.761737319422696
133,0.3,1.4,0.15,0.3,0.2,10.953908883805033
134,0.025,1.6,0.1,0.0,0.1,70.8030122326064
135,0.25,1.8,0.1,0.5,0.2,4.425478237972812
136,0.025,2.0,0.15,0.0,0.4,50.776092031635656
137,0.025,1.4,0.1,0.2,0.4,55.75470540732362
138,0.1,1.6,0.15,0.1,0.3,85.0609161744285
139,0.1,2.0,0.05,0.4,0.4,19.788175679323455
140,0.025,1.8,0.05,0.5,0.3,13.807650487541482
141,0.025,1.8,0.1,0.3,0.4,48.699634200704814
